"lon","lat","cond","cond2","mmi"
-92.7575160375,45.1617391985,"Fair",2,23.17
-93.240672392,44.9773026963,"Good",3,50
-91.3220521815,43.8889724402,"Fair",2,35.23
-92.4820841968,44.2385604864,"Good",3,40.75
-94.2326150403,46.3331295347,"Fair",2,28.57
-94.9869724251,48.6555641166,"Fair",2,33.57
-95.0250985279,44.5521269414,"Good",3,50.53
-94.0285754961,44.5176506733,"Fair",2,23.08
-93.6188344332,44.4072432732,"Poor",1,11.48
-93.2272560705,48.3784575981,"Good",3,50.15
-93.8025985411,48.4723867045,"Good",3,42.43
-92.9811675121,44.207177382,"Fair",2,35.87
-95.3819796403,47.7980535912,"Good",3,44.55
-91.3921826625,39.1469704902,"Fair",2,40.2
-91.0321673399,37.7783310681,"Fair",2,36.73
-95.0611800273,39.9237562255,"Fair",2,38.27
-93.7207999823,37.8895119622,"Good",3,59
-93.614336232,38.480305863,"Good",3,41.38
-92.7621424277,40.1165693083,"Fair",2,26.22
-90.4156474242,38.9633667804,"Fair",2,26.28
-91.7030367843,39.9780798496,"Poor",1,25.8
-90.6428188417,37.0275413531,"Fair",2,38.68
-93.9402708943,39.7342679523,"Poor",1,22.07
-91.8040482956,38.2401214184,"Good",3,57.22
-90.7172226139,39.1760523467,"Fair",2,28.37
-93.7144287094,36.7847693146,"Fair",2,44.65
-92.3653591932,37.5389799356,"Fair",2,44.18
-90.5444203154,37.8832499384,"Fair",2,38.68
-92.9499195819,38.6874410621,"Good",3,47.55
-90.6270631865,38.3029678545,"Poor",1,15
-93.6811881157,39.0282652423,"Poor",1,17.57
-92.834755325,40.0940536493,"Fair",2,30.62
-90.4166140944,38.8291194665,"Poor",1,9.07
-91.9211707803,39.2198726656,"Poor",1,16.03
-91.1558635699,37.131696431,"Good",3,51.13
-92.3215456339,38.5253458161,"Good",3,66.73
-94.5082082604,37.1670210782,"Poor",1,10.02
-91.3578126084,37.9837162091,"Fair",2,37.83
-92.5345983483,39.2088436572,"Poor",1,15.87
-94.3516648045,39.0974853494,"Poor",1,17.75
-90.8207505609,38.5809074304,"Poor",1,15.18
-89.3853905956,37.0557241478,"Poor",1,17.93
-93.4094046116,39.2670901973,"Poor",1,20.68
-93.2445051663,37.4296817055,"Poor",1,30.7
-91.6258560939,39.1538803032,"Poor",1,2.75
-94.8807310297,39.6971733413,"Fair",2,33.12
-91.526621165,39.4414695033,"Good",3,43.17
-94.1572828484,39.7114495497,"Poor",1,1.42
-93.5809375864,37.7679872322,"Poor",1,28.57
-89.6935279423,36.02181179,"Fair",2,51.3
-89.3961784959,36.5616969518,"Good",3,57.03
-89.610578322,36.1698759032,"Fair",2,41.07
-89.1159112324,36.9115909989,"Good",3,59.98
-90.8496451449,31.3511216275,"Good",3,72.78
-89.6549728843,30.7672039691,"Good",3,74.23
-91.6038698686,31.2635260678,"Poor",1,20.98
-90.3346700771,32.6469597775,"Poor",1,9.8
-88.5183318154,34.0016574869,"Fair",2,50.07
-88.8882027173,31.0598880107,"Poor",1,6.58
-91.0394967143,31.0002656798,"Fair",2,47.4
-88.5502771427,32.8064611676,"Poor",1,38.1
-91.1395779789,31.982908965,"Poor",1,32.15
-88.5310703808,33.9137378937,"Poor",1,26.05
-89.1518534388,32.4914675262,"Fair",2,54.63
-90.6784206059,34.3709247288,"Poor",1,14.68
-89.6905539107,31.1972335209,"Good",3,59.98
-90.3289473372,32.3079300868,"Poor",1,21.4
-88.7735513906,30.8833903352,"Poor",1,30.48
-90.2996863733,31.316688214,"Fair",2,45.3
-89.9650139714,33.1590938211,"Good",3,62.5
-90.1281156772,31.95175587,"Good",3,57.47
-90.9475945315,32.0868107669,"Poor",1,14.02
-88.8248557999,32.1614904056,"Poor",1,16.3
-89.6785459926,31.7964369191,"Good",3,56.78
-89.8486962757,32.5824600366,"Poor",1,36.47
-89.2779646195,31.0962138646,"Good",3,57.37
-88.5871625093,30.4042415365,"Poor",1,24.35
-90.6787144324,31.6147041345,"Fair",2,42.53
-90.4018209994,32.8006809068,"Fair",2,42.88
-89.3206559732,31.5687015576,"Fair",2,50.15
-88.6327488887,30.6659369529,"Poor",1,16.67
-91.4795984415,31.3644533371,"Poor",1,0
-91.0739544599,33.7759007949,"Poor",1,16.67
-89.7357213684,31.3893796248,"Good",3,57.92
-90.1745308011,31.674255772,"Poor",1,8.63
-91.1230271842,33.4321854236,"Poor",1,0
-89.7459843494,31.0153801716,"Poor",1,35.93
-89.8357144001,30.6793982042,"Poor",1,28.13
-90.5824429088,34.6059771585,"Poor",1,33.33
-90.4627041994,34.7706852357,"Poor",1,30.28
-91.1344283609,33.6200694168,"Good",3,58.47
-90.87650411,34.1855410485,"Poor",1,21.95
-90.2832318839,34.8872436043,"Poor",1,33.33
-91.0641259806,33.867083565,"Poor",1,28.85
-91.1507241159,33.1087443529,"Poor",1,29.72
-110.869844742,46.9308896913,"Good",3,53.93
-109.039941007,45.1416068475,"Good",3,80.9
-110.716426065,47.4990079642,"Good",3,87.25
-113.48093714,45.9072329712,"Good",3,59
-107.308237048,48.9118062193,"Fair",2,45.73
-114.558958789,46.6854406233,"Fair",2,49.33
-109.769585953,46.2508686764,"Fair",2,51.98
-112.495901645,47.2118541155,"Fair",2,45.38
-105.517751694,48.2239098328,"Fair",2,42.98
-108.408797687,45.9129353624,"Poor",1,27.77
-111.594327164,47.0817772176,"Good",3,70.6
-115.220464959,47.2076156991,"Good",3,77.28
-113.880805764,48.3535643159,"Good",3,60
-109.5269269,48.2711417194,"Good",3,58.05
-116.001667184,48.0050490296,"Good",3,60.72
-114.769850216,47.066361551,"Good",3,65.73
-110.045797008,45.8376859126,"Good",3,69.15
-114.018715517,48.0774672916,"Poor",1,12.83
-104.391246786,48.0766134409,"Good",3,71.37
-107.965734785,46.5660382176,"Good",3,81.68
-110.54909569,46.1667666608,"Good",3,95.88
-111.498635536,47.4143500162,"Good",3,70.7
-105.814048153,46.3596270422,"Good",3,72.72
-107.583805867,48.3459823537,"Poor",1,28.1
-112.996591304,44.9762608234,"Poor",1,26.92
-112.900092245,48.569323339,"Poor",1,17.35
-114.737650614,47.8370618157,"Good",3,67.3
-110.371308096,46.4577476838,"Good",3,81.72
-104.995202473,46.8678342007,"Good",3,76.83
-113.870700021,47.9094838807,"Poor",1,32.23
-111.301282325,47.4516097767,"Poor",1,39.2
-107.778191466,45.4338226489,"Fair",2,49.83
-108.165005382,47.0151948043,"Fair",2,43.68
-109.926375264,48.4576649995,"Poor",1,34.1
-106.450392078,46.1105918758,"Good",3,69.03
-109.31160459,45.5973197817,"Good",3,80
-112.107506574,45.5316243504,"Good",3,69.93
-113.198807009,48.9908633946,"Good",3,66.08
-105.441163492,48.7295490367,"Poor",1,41.73
-112.905068627,46.1589031157,"Good",3,50.52
-111.265708805,46.5855868029,"Fair",2,49.78
-106.856529165,48.9432344042,"Fair",2,49.48
-112.681058787,47.6166609121,"Good",3,87.43
-112.124625105,48.1432072739,"Poor",1,33
-107.585315774,45.0342057441,"Good",3,95.48
-107.548996149,48.1473271403,"Poor",1,26.35
-111.566890199,45.909362111,"Good",3,64.28
-109.276796283,47.792473255,"Good",3,67.38
-109.169383899,45.3477131657,"Good",3,68.98
-111.376777306,47.1153695452,"Good",3,74.47
-105.214290512,45.0517088248,"Poor",1,35.73
-111.090657555,44.693960237,"Poor",1,34.2
-109.391675679,48.549468148,"Good",3,57.98
-112.491116239,47.721716793,"Good",3,86.8
-110.163839016,47.0542510403,"Poor",1,39.92
-108.593892129,46.7849167341,"Good",3,64.57
-110.735284831,45.993500635,"Good",3,74.22
-109.525813614,45.3078739739,"Good",3,77.17
-110.604933855,46.3279549881,"Good",3,88.48
-109.550910636,48.1804506873,"Fair",2,53.63
-107.683434787,45.0014792402,"Poor",1,29.52
-81.5102508307,36.1118796975,"Good",3,53.02
-82.0449695429,36.0991713751,"Good",3,51.13
-82.778982244,35.6821960681,"Fair",2,40.97
-83.6967759958,35.0246685542,"Good",3,62
-77.7538445977,35.3855297107,"Poor",1,7.33
-80.3598869764,35.876157617,"Poor",1,23.67
-81.7447200872,35.6437926137,"Fair",2,35.82
-80.6566825711,35.1611892411,"Poor",1,3.95
-80.4655795186,35.0436515001,"Poor",1,22.33
-77.6599398208,36.4817098395,"Poor",1,0
-78.7783979476,35.4000801566,"Good",3,64.83
-77.9632200411,34.5824949171,"Poor",1,13.13
-80.9602935243,36.2149171664,"Fair",2,41.37
-79.3282468951,36.5307522585,"Fair",2,40.45
-84.0245236006,35.0605664575,"Poor",1,30.4
-77.6750030139,35.4580011084,"Fair",2,49.3
-80.418126039,35.9975632493,"Poor",1,17.38
-76.7378899978,36.150211686,"Fair",2,40.88
-78.7981994796,34.923369932,"Poor",1,12.52
-80.7245022322,35.3970794705,"Poor",1,17.53
-78.8097367399,35.176076333,"Poor",1,27.23
-78.256943663,34.5197813706,"Poor",1,39.62
-81.4095838867,35.4756984365,"Good",3,47.55
-78.5755290903,35.9395429982,"Poor",1,18.48
-83.5072192493,35.3512582559,"Fair",2,39.5
-77.5326325176,35.945352858,"Fair",2,46.73
-77.0291869228,35.3202504531,"Poor",1,23.38
-79.0520955282,35.5944825681,"Poor",1,9.15
-76.9434492502,36.4716993554,"Poor",1,23.33
