DATE,UTC_TIME,MAG,LAT,LON,DEPTH
2019/07/05,00:33:19.61,2.66,35.74367,-117.55566,5.4
2019/07/05,00:45:39.46,3.85,35.69467,-117.50833,6.2
2019/07/05,00:49:40.92,2.52,35.70967,-117.47867,1.9
2019/07/05,01:08:53.45,3.11,35.7245,-117.548,1.9
2019/07/05,01:18:13.42,3.21,35.65833,-117.52283,1.9
2019/07/05,01:58:07.28,2.68,35.71183,-117.46817,0.7
2019/07/05,01:58:08.39,3.36,31.83417,-115.8145,14.7
2019/07/05,02:01:41.15,3.25,35.77417,-117.6165,2.8
2019/07/05,02:01:59.01,3.98,35.64017,-117.54617,11.3
2019/07/05,02:05:19.18,3.4,35.6555,-117.52267,1.9
2019/07/05,02:13:51.94,2.65,35.6405,-117.55783,10.3
2019/07/05,02:19:41.89,3.26,35.77267,-117.619,2.8
2019/07/05,02:23:55.65,2.8,35.71283,-117.47433,0.8
2019/07/05,02:59:49.61,2.81,35.661,-117.519,0.2
2019/07/05,03:01:13.27,2.72,35.744,-117.56483,5.5
2019/07/05,03:15:18.70,3.24,35.62983,-117.56617,4.7
2019/07/05,03:19:53.57,3.41,35.655,-117.52217,1.5
2019/07/05,03:21:33.03,2.53,35.77833,-117.61733,1.8
2019/07/05,03:25:20.61,2.54,35.69117,-117.51233,4.2
2019/07/05,03:46:12.73,2.56,35.698,-117.48033,1.3
2019/07/05,03:46:54.41,3.14,35.68117,-117.50133,1.4
2019/07/05,03:50:13.94,2.52,35.70933,-117.47583,0.4
2019/07/05,04:11:38.57,3.53,35.722,-117.5545,2
2019/07/05,04:13:01.17,2.62,35.67733,-117.551,7.1
2019/07/05,04:14:45.30,3.56,35.69933,-117.481,1.2
2019/07/05,04:33:04.91,2.54,35.65883,-117.51783,2.1
2019/07/05,04:56:05.26,2.52,35.65967,-117.54183,7.9
2019/07/05,05:01:39.77,2.61,35.57183,-117.61817,4.9
2019/07/05,05:10:37.40,3.2,35.70583,-117.47817,2.4
2019/07/05,05:18:25.38,3.45,35.769,-117.614,2.5
2019/07/05,05:29:16.07,2.64,35.636,-117.58783,6.7
2019/07/05,05:40:12.14,2.82,35.67767,-117.51067,2
2019/07/05,05:52:38.10,2.5,35.70283,-117.4845,0.2
2019/07/05,06:09:23.11,3.65,35.62283,-117.57167,7.2
2019/07/05,06:40:42.65,3.22,35.701,-117.50817,6.6
2019/07/05,06:59:00.44,2.64,35.71667,-117.54133,0.3
2019/07/05,06:59:33.61,2.58,35.67067,-117.48317,6.7
2019/07/05,07:02:22.36,3.23,35.72533,-117.56467,2.7
2019/07/05,07:27:37.11,3.72,35.75033,-117.56317,6.9
2019/07/05,07:39:13.48,3.46,35.688,-117.4785,10.6
2019/07/05,08:00:43.33,2.9,35.75017,-117.56217,7.1
2019/07/05,08:21:04.78,3.47,35.60233,-117.60417,4.5
2019/07/05,08:46:49.71,2.99,35.69217,-117.48883,9.2
2019/07/05,08:54:02.48,3.48,35.704,-117.502,8.7
2019/07/05,09:11:20.61,2.9,35.66633,-117.52767,6.6
2019/07/05,09:46:29.08,3.62,35.64967,-117.54817,2.3
2019/07/05,10:16:34.49,3.1,35.66367,-117.50267,6.9
2019/07/05,10:27:17.72,2.53,35.72467,-117.53583,6.6
2019/07/05,10:33:16.08,2.75,35.6805,-117.4775,0.8
2019/07/05,10:57:26.57,2.89,35.74333,-117.54933,10.8
2019/07/05,10:59:38.92,3.54,35.602,-117.59017,2.8
2019/07/05,11:07:53.04,5.36,35.76033,-117.575,7
2019/07/05,11:10:09.34,3.03,35.755,-117.58367,7
2019/07/05,11:11:31.81,2.84,35.7495,-117.572,5
2019/07/05,11:12:19.08,2.93,35.7505,-117.56883,3.6
2019/07/05,11:17:19.58,2.55,35.777,-117.567,4.9
2019/07/05,11:20:24.92,2.56,35.75883,-117.57467,7.1
2019/07/05,11:25:08.73,2.6,35.64367,-117.58917,8.3
2019/07/05,11:29:14.85,3.03,35.77233,-117.57,7.3
2019/07/05,11:31:31.39,2.52,35.758,-117.58217,7.1
2019/07/05,11:36:03.92,3.19,35.76317,-117.58383,7.9
2019/07/05,11:51:50.81,2.64,35.60083,-117.60383,4.6
2019/07/05,11:58:49.21,2.88,35.648,-117.585,6.8
2019/07/05,12:23:57.92,3.35,35.72383,-117.53033,3
2019/07/05,12:38:30.02,4.09,35.77167,-117.57067,6.8
2019/07/05,12:50:00.45,2.65,35.758,-117.57367,6.9
2019/07/05,12:55:04.83,3.65,35.7515,-117.56433,7.3
2019/07/05,13:12:23.38,2.75,35.75867,-117.56767,5.1
2019/07/05,13:41:03.04,2.75,35.70517,-117.51117,6.8
2019/07/05,13:43:36.37,2.64,37.38433,-118.525,7
2019/07/05,13:47:33.49,2.61,35.7465,-117.56567,3.2
2019/07/05,13:55:41.07,2.63,35.71533,-117.50817,9.7
2019/07/05,14:01:47.42,2.53,35.79183,-117.6155,1
2019/07/05,14:39:33.45,3.94,35.74217,-117.56667,2.9
2019/07/05,14:40:29.91,2.76,35.568,-117.618,4
2019/07/05,15:00:09.21,2.78,35.68183,-117.59733,0.3
2019/07/05,15:03:37.62,2.76,35.663,-117.5275,2.8
2019/07/05,15:12:17.82,2.54,35.74183,-117.5615,0.9
2019/07/05,15:19:03.63,2.55,35.72233,-117.551,0.3
2019/07/05,15:46:03.86,3,35.6995,-117.48417,1.4
2019/07/05,17:02:36.51,3.84,35.6175,-117.57967,10.8
2019/07/05,17:57:12.53,2.51,35.71633,-117.47483,1.5
2019/07/05,17:59:56.23,3.41,35.793,-117.615,4
2019/07/05,18:09:52.59,2.71,35.66933,-117.52433,2.2
2019/07/05,18:40:30.95,2.6,35.72517,-117.56067,2.8
2019/07/05,19:59:36.96,2.74,35.73917,-117.56483,2.7
2019/07/05,20:51:18.73,2.74,35.66783,-117.51833,4.4
2019/07/05,20:51:38.36,2.64,35.66967,-117.515,2.7
2019/07/05,21:13:37.63,2.82,35.74367,-117.551,6.8
2019/07/05,21:17:31.18,2.83,35.717,-117.52467,5
2019/07/05,21:30:26.10,2.77,35.61133,-117.59233,7.5
2019/07/05,22:05:10.41,2.83,35.69683,-117.51067,2.6
2019/07/05,22:07:28.34,2.8,35.68417,-117.49983,6.8
2019/07/05,22:10:22.69,2.57,35.73517,-117.54517,4.5
2019/07/05,22:38:23.38,3.07,35.7755,-117.60367,2.5
2019/07/05,23:01:07.89,2.51,35.683,-117.50617,0.7
2019/07/05,23:07:31.44,2.63,35.7975,-117.611,4.2
2019/07/06,00:10:59.26,2.58,35.7625,-117.56867,4.2
2019/07/06,00:13:02.72,3.5,35.72817,-117.56183,3.1
2019/07/06,00:13:52.50,2.78,35.74433,-117.54683,10.6
2019/07/06,00:14:41.70,2.8,35.771,-117.60017,2.5
2019/07/06,00:15:39.13,2.93,35.773,-117.59833,2.8
2019/07/06,00:18:57.74,2.68,35.77083,-117.61833,2.5
2019/07/06,00:20:07.14,2.94,35.74317,-117.548,9.9
2019/07/06,00:51:25.70,3.67,35.75017,-117.58417,6.6
2019/07/06,00:51:53.75,2.91,35.68783,-117.486,7.7
2019/07/06,01:53:30.76,2.8,35.716,-117.5335,4.7
2019/07/06,02:11:12.28,2.53,35.62467,-117.597,7
2019/07/06,02:42:14.09,2.63,35.5985,-117.58733,4.3
2019/07/06,02:55:13.06,2.81,35.7715,-117.60067,2.2
2019/07/06,03:16:32.48,4.97,35.72533,-117.5535,0.9
2019/07/06,03:19:53.04,7.1,35.7695,-117.59933,8
2019/07/06,03:20:36.08,4.33,36.00683,-117.8525,13.9
2019/07/06,03:20:41.14,4.81,35.94967,-117.73767,9.3
2019/07/06,03:21:10.03,4.33,35.828,-117.65767,5.3
2019/07/06,03:21:31.91,4.24,35.88783,-117.73317,9.8
2019/07/06,03:22:03.57,4.64,35.92167,-117.729,8.2
2019/07/06,03:22:17.10,4.55,35.748,-117.54567,3.9
2019/07/06,03:22:27.16,4.46,35.61717,-117.4275,8.4
2019/07/06,03:22:35.63,4.73,35.61667,-117.43017,9.3
2019/07/06,03:22:48.30,4.64,35.891,-117.7365,9.1
